Brand,Name,Rating,Price,Link,ID
Estée Lauder,Double Wear Stay-in-Place Foundation,"4.6 out of 5 stars ; 10197 reviews(10,197)",$48.00 ,https://www.ulta.com/p/double-wear-stay-in-place-foundation-xlsImpprod14641507?sku=2309445&dcEvent=true,2309445
Stila,Stay All Day Waterproof Liquid Eye Liner,"4.4 out of 5 stars ; 7276 reviews(7,276)",$24.00 ,https://www.ulta.com/p/stay-all-day-waterproof-liquid-eye-liner-xlsImpprod1840049?sku=2215097&dcEvent=true,2215097
Tarte,Face Tape Full Coverage Vegan Foundation,"4.1 out of 5 stars ; 5370 reviews(5,370)",$40.00 ,https://www.ulta.com/p/face-tape-full-coverage-vegan-foundation-pimprod2003933?sku=2540302&dcEvent=true,2540302
Dior,Addict Lip Glow Oil,"4.5 out of 5 stars ; 1571 reviews(1,571)",$40.00 ,https://www.ulta.com/p/addict-lip-glow-oil-pimprod2036812?sku=2604382&sku=2604382&dcEvent=true,2604382
Tarte,Shape Tape Full Coverage Concealer,"4.7 out of 5 stars ; 37461 reviews(37,461)",$31.00 ,https://www.ulta.com/p/shape-tape-full-coverage-concealer-xlsImpprod14251035?sku=2532923&dcEvent=true,2532923
Tarte,Maneater Mascara,"4.5 out of 5 stars ; 5474 reviews(5,474)",$25.00 ,https://www.ulta.com/p/maneater-mascara-xlsImpprod15191101?sku=2501249&dcEvent=true,2501249
Anastasia Beverly Hills,Brow Wiz Ultra-Slim Retractable Detail Pencil With Spoolie,"4.6 out of 5 stars ; 20118 reviews(20,118)",$25.00 ,https://www.ulta.com/p/brow-wiz-ultra-slim-retractable-detail-pencil-with-spoolie-xlsImpprod840088?sku=2162560&dcEvent=true,2162560
Urban Decay,All Nighter Long-Lasting Makeup Setting Spray,"4.5 out of 5 stars ; 23130 reviews(23,130)",$36.00 ,https://www.ulta.com/p/all-nighter-long-lasting-makeup-setting-spray-xlsImpprod15371001?sku=2503490&sku=2503490&dcEvent=true,2503490
MAC,Pro Longwear Paint Pot Eyeshadow,"4.5 out of 5 stars ; 1234 reviews(1,234)",$25.00 ,https://www.ulta.com/p/pro-longwear-paint-pot-eyeshadow-xlsImpprod15921228?sku=2574249&dcEvent=true,2574249
IT Cosmetics,CC+ Cream with SPF 50+,"4.3 out of 5 stars ; 26420 reviews(26,420)",$44.00 ,https://www.ulta.com/p/cc-cream-with-spf-50-xlsImpprod5770257?sku=2533844&dcEvent=true,2533844
e.l.f. Cosmetics,Halo Glow Liquid Filter,"4.5 out of 5 stars ; 1675 reviews(1,675)",$14.00 ,https://www.ulta.com/p/halo-glow-liquid-filter-pimprod2036949?sku=2604923&dcEvent=true,2604923
Grande Cosmetics,Travel Size GrandeLASH-MD Lash Enhancing Serum,"4.4 out of 5 stars ; 4342 reviews(4,342)",$36.00 ,https://www.ulta.com/p/travel-size-grandelash-md-lash-enhancing-serum-pimprod2014807?sku=2561653&dcEvent=true,2561653
Tarte,Travel Size Shape Tape Full Coverage Concealer,"4.5 out of 5 stars ; 2156 reviews(2,156)",$14.00 ,https://www.ulta.com/p/travel-size-shape-tape-full-coverage-concealer-pimprod2009198?sku=2554049&dcEvent=true,2554049
Dior,Addict Lip Maximizer,4.7 out of 5 stars ; 933 reviews(933),$40.00 ,https://www.ulta.com/p/addict-lip-maximizer-pimprod2037634?sku=2604279&dcEvent=true,2604279
Tula,Filter Primer Blurring & Moisturizing Primer,"4.6 out of 5 stars ; 4614 reviews(4,614)",$38.00 ,https://www.ulta.com/p/filter-primer-blurring-moisturizing-primer-pimprod2024916?sku=2580279&dcEvent=true,2580279
Smashbox,Smashbox Photo Finish Foundation Primer- 1oz,"4.5 out of 5 stars ; 1838 reviews(1,838)",Sale Price $21.00$21.00 Original Price $42.00$42.00 ,https://www.ulta.com/p/original-photo-finish-smooth-blur-oil-free-primer-xlsImpprod3590041?sku=2233964&sku=2233964&dcEvent=true,2233964
FENTY BEAUTY by Rihanna,Pro Filt'r Instant Retouch Concealer,"4.6 out of 5 stars ; 4442 reviews(4,442)",$30.00 ,https://www.ulta.com/p/pro-filtr-instant-retouch-concealer-pimprod2031377?sku=2592633&dcEvent=true,2592633
FENTY BEAUTY by Rihanna,Pro Filt'r Soft Matte Longwear Liquid Foundation,"4.4 out of 5 stars ; 13249 reviews(13,249)",$27.30 - $40.00 ,https://www.ulta.com/p/pro-filtr-soft-matte-longwear-liquid-foundation-pimprod2029862?sku=2592547&dcEvent=true,2592547
Clinique,Almost Lipstick in Black Honey,"4.6 out of 5 stars ; 2036 reviews(2,036)",$23.00 ,https://www.ulta.com/p/almost-lipstick-in-black-honey-xlsImpprod10792007?sku=2153395&dcEvent=true,2153395
FENTY BEAUTY by Rihanna,Match Stix Contour Skinstick,4.4 out of 5 stars ; 553 reviews(553),$32.00 ,https://www.ulta.com/p/match-stix-contour-skinstick-pimprod2031436?sku=2592591&dcEvent=true,2592591
